rank,artist,song,year
4,Maroon 5 feat. Wiz Khalifa,Payphone,2012
5,Ellie Goulding,Lights,2012
6,The Wanted,Glad You Came,2012
7,Kelly Clarkson,Stronger (What Doesn’t Kill You),2012
8,Rihanna feat. Calvin Harris,We Found Love,2012
9,Nicki Minaj,Starships,2012
10,One Direction,What Makes You Beautiful,2012
11,Flo Rida feat. Sia,Wild Ones,2012
12,Adele,Set Fire To The Rain,2012
13,LMFAO,Sexy And I Know It,2012
14,fun.,Some Nights,2012
15,Katy Perry,Wide Awake,2012
16,Flo Rida,Good Feeling,2012
17,Flo Rida,Whistle,2012
18,Maroon 5,One More Night,2012
19,Train,Drive By,2012
20,Drake feat. Lil Wayne,The Motto,2012
21,Rihanna,Where Have You Been,2012
22,Neon Trees,Everybody Talks,2012
23,Drake feat. Rihanna,Take Care,2012
24,David Guetta feat. Sia,Titanium,2012
25,Jason Mraz,I Won’t Give Up,2012
26,Bruno Mars,It Will Rain,2012
27,"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy,2012
28,Justin Bieber,Boyfriend,2012
29,LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,2012
30,Alex Clare,Too Close,2012
31,Katy Perry,Part Of Me,2012
32,Snoop Dogg and Wiz Khalifa feat. Bruno Mars,"Young, Wild & Free",2012
33,Taylor Swift,We Are Never Ever Getting Back Together,2012
34,Justin Bieber feat. Big Sean,As Long as You Love Me,2012
35,David Guetta feat. Nicki Minaj,Turn Me On,2012
36,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,2012
37,P!nk,Blow Me (One Last Kiss),2012
38,Owl City and Carly Rae Jepsen,Good Time,2012
39,Demi Lovato,Give Your Heart A Break,2012
40,Jay Z and Kanye West,Ni**As In Paris,2012
41,Katy Perry,The One That Got Away,2012
42,Calvin Harris,Feel So Close,2012
43,Adele,Someone Like You,2012
44,Usher,Scream,2012
45,Tyga,Rack City,2012
46,Jessie J,Domino,2012
47,PSY,Gangnam Style,2012
48,Pitbull feat. Chris Brown,International Love,2012
49,Phillip Phillips,Home,2012
50,David Guetta feat. Usher,Without You,2012
51,Gym Class Heroes feat. Neon Hitch,Ass Back Home,2012
52,Hunter Hayes,Wanted,2012
53,Luke Bryan,Drunk On You,2012
54,2 Chainz feat. Drake,No Lie,2012
55,Cher Lloyd,Want U Back,2012
56,Chris Brown,Don’t Wake Me Up,2012
57,Big Sean feat. Nicki Minaj,Dance (A$$),2012
58,Eric Church,Springsteen,2012
59,Karmin,Brokenhearted,2012
60,Gavin DeGraw,Not Over You,2012
61,Gym Class Heroes feat. Adam Levine,Stereo Hearts,2012
62,Pitbull,Back In Time,2012
63,J. Cole,Work Out,2012
64,Adele,Rumour Has It,2012
65,Calvin Harris feat. Ne-Yo,Let’s Go,2012
66,Carrie Underwood,Good Girl,2012
67,Little Big Town,Pontoon,2012
68,The Lumineers,Ho Hey,2012
69,Coldplay,Paradise,2012
70,Carrie Underwood,Blown Away,2012
71,Adele,Rolling In The Deep,2012
72,Usher,Climax,2012
73,Wiz Khalifa,"Work Hard, Play Hard",2012
74,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2012
75,Nicki Minaj,Pound The Alarm,2012
76,Kenny Chesney,Come Over,2012
77,Trey Songz,Heart Attack,2012
78,Kirko Bangz,Drank In My Cup,2012
79,Rihanna feat. Chris Brown,Birthday Cake,2012
80,B.o.B,So Good,2012
81,Train,50 Ways To Say Goodbye,2012
82,Toby Keith,Red Solo Cup,2012
83,Selena Gomez and The Scene,Love You Like A Love Song,2012
84,Chris Brown,Turn Up The Music,2012
85,Ke$ha,Die Young,2012
86,T-Pain feat. Wiz Khalifa and Lily Allen,5 O’Clock,2012
87,Christina Perri,A Thousand Years,2012
88,Jason Aldean,Take A Little Ride,2012
89,Rihanna,You Da One,2012
90,Havana Brown feat. Pitbull,We Run The Night,2012
91,Imagine Dragons,It’s Time,2012
92,Ca$h Out,Cashin’ Out,2012
93,Luke Bryan,I Don’t Want This Night To End,2012
94,Rihanna,Diamonds,2012
95,Lee Brice,Hard To Love,2012
96,Kip Moore,Somethin’ ‘Bout A Truck,2012
97,Miguel,Adorn,2012
98,Jason Aldean,Fly Over States,2012
99,Eli Young Band,Even If It Breaks Your Heart,2012
100,Linkin Park,Burn It Down,2012
1,Pharrell Williams,Happy,2014
2,Katy Perry feat. Juicy J,Dark Horse,2014
3,John Legend,All Of Me,2014
4,Iggy Azalea feat. Charli XCX,Fancy,2014
5,OneRepublic,Counting Stars,2014
6,Jason Derulo feat. 2 Chainz,Talk Dirty,2014
7,MAGIC!,Rude,2014
8,Meghan Trainor,All About That Bass,2014
9,Ariana Grande feat. Iggy Azalea,Problem,2014
10,Sam Smith,Stay With Me,2014
11,Pitbull feat. Ke$ha,Timber,2014
12,Bastille,Pompeii,2014
13,Taylor Swift,Shake It Off,2014
14,Nico and Vinz,Am I Wrong,2014
15,DJ Snake and Lil Jon,Turn Down For What,2014
16,Eminem feat. Rihanna,The Monster,2014
17,A Great Big World and Christina Aguilera,Say Something,2014
18,Lorde,Team,2014
19,Passenger,Let Her Go,2014
20,Lorde,Royals,2014
21,Idina Menzel,Let It Go,2014
22,Avicii,Wake Me Up!,2014
23,Imagine Dragons,Demons,2014
24,One Direction,Story Of My Life,2014
25,Sia,Chandelier,2014
26,Iggy Azalea feat. Rita Ora,Black Widow,2014
27,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,2014
28,Disclosure feat. Sam Smith,Latch,2014
29,Maroon 5,Maps,2014
30,Chris Brown feat. Lil Wayne and French Montana or Too $hort or Tyga,Loyal,2014
31,American Authors,Best Day Of My Life,2014
32,Tove Lo,Habits (Stay High),2014
33,Calvin Harris,Summer,2014
34,Charli XCX,Boom Clap,2014
35,Beyonce feat. Jay Z,Drunk In Love,2014
36,Nicki Minaj,Anaconda,2014
37,Ariana Grande feat. Zedd,Break Free,2014
38,Enrique Iglesias feat. Descemer Bueno and Gente De Zona,Bailando,2014
39,Ellie Goulding,Burn,2014
40,Jason Derulo feat. Snoop Dogg,Wiggle,2014
41,Clean Bandit feat. Jess Glynne,Rather Be,2014
42,Jeremih feat. Yg,Don’t Tell ‘Em,2014
43,Kid Ink feat. Chris Brown,Show Me,2014
44,Miley Cyrus,Wrecking Ball,2014
45,Justin Timberlake,Not A Bad Thing,2014
46,Katy Perry,Roar,2014
47,Paramore,Ain’t It Fun,2014
48,Aloe Blacc,The Man,2014
49,Florida Georgia Line feat. Luke Bryan,This Is How We Roll,2014
50,Mkto,Classic,2014
51,Coldplay,A Sky Full Of Stars,2014
52,Ed Sheeran,Don’t,2014
53,Trey Songz,Na Na,2014
54,Bobby Shmurda,Hot Boy,2014
55,Drake feat. Majid Jordan,"Hold On, We’re Going Home",2014
56,Ed Sheeran,Sing,2014
57,Imagine Dragons,Radioactive,2014
58,Yg feat. Jeezy and Rich Homie Quan,My Hitta,2014
59,Echosmith,Cool Kids,2014
60,Avicii,Hey Brother,2014
61,Jason Derulo,Trumpets,2014
62,Maroon 5,Animals,2014
63,Jason Aldean,Burnin’ It Down,2014
64,Luke Bryan,Play It Again,2014
65,Tinashe feat. Schoolboy Q,2 On,2014
66,Florida Georgia Line,Dirt,2014
67,OneRepublic,Love Runs Out,2014
68,Brantley Gilbert,Bottoms Up,2014
69,Becky G,Shower,2014
70,Rixton,Me And My Broken Heart,2014
71,Martin Garrix,Animals,2014
72,Rich Gang feat. Young Thug and Rich Homie Quan,Lifestyle,2014
73,Kenny Chesney,American Kids,2014
74,Sara Bareilles,Brave,2014
75,The Neighbourhood,Sweater Weather,2014
76,Sam Hunt,Leave The Night On,2014
77,Chris Brown feat. Usher and Rick Ross,New Flame,2014
78,Michael Jackson and Justin Timberlake,Love Never Felt So Good,2014
79,Dierks Bentley,Drunk On A Plane,2014
80,Katy Perry,Birthday,2014
81,Lady Antebellum,Bartender,2014
82,Naughty Boy feat. Sam Smith,La La La,2014
83,Robin Thicke feat. T.I. and Pharrell,Blurred Lines,2014
84,Lady Gaga feat. R. Kelly,Do What U Want,2014
85,Shakira feat. Rihanna,Can’t Remember To Forget You,2014
86,5 Seconds Of Summer,Amnesia,2014
87,T.I. feat. Iggy Azalea,No Mediocre,2014
88,Kongos,Come With Me Now,2014
89,Lil Wayne feat. Drake,Believe Me,2014
90,"Mike Will Made-It feat. Miley Cyrus, Wiz Khalifa and Juicy J",23,2014
91,Jake Owen,Beachin’,2014
92,Macklemore & Ryan Lewis feat. Schoolboy Q and Hollis,White Walls,2014
93,5 Seconds Of Summer,She Looks So Perfect,2014
94,Zedd feat. Hayley Williams,Stay The Night,2014
95,Beyonce,Partition,2014
96,Schoolboy Q feat. BJ The Chicago Kid,Studio,2014
97,Drake,0 To 100 / The Catch Up,2014
98,Lee Brice,I Don’t Dance,2014
99,Miranda Lambert and Carrie Underwood,Somethin’ Bad,2014
100,Miley Cyrus,Adore You,2014
1,Mark Ronson feat. Bruno Mars,Uptown Funk! LYRICS,2015
2,Ed Sheeran,Thinking Out Loud LYRICS,2015
3,Wiz Khalifa feat. Charlie Puth,See You Again LYRICS,2015
4,Fetty Wap,Trap Queen LYRICS,2015
5,Maroon 5,Sugar LYRICS,2015
6,Walk The Moon,Shut Up and Dance LYRICS,2015
7,Taylor Swift,Blank Space LYRICS,2015
8,Silento,Watch Me LYRICS,2015
9,Weeknd,Earned It (Fifty Shades Of Grey) LYRICS,2015
10,Weeknd,The Hills LYRICS,2015
11,OMI,Cheerleader (Felix Jaehn Remix) LYRICS,2015
12,Weeknd,Can’t Feel My Face LYRICS,2015
13,Ellie Goulding,Love Me Like You Do LYRICS,2015
14,Hozier,Take Me To Church LYRICS,2015
15,Taylor Swift feat. Kendrick Lamar,Bad Blood LYRICS,2015
16,Major Lazer and DJ Snake feat. M0,Lean On LYRICS,2015
17,Jason Derulo,Want To Want Me LYRICS,2015
18,Taylor Swift,Shake It Off LYRICS,2015
19,Skrillex and Diplo With Justin Bieber,Where Are U Now LYRICS,2015
20,Rachel Platten,Fight Song LYRICS,2015
21,Fetty Wap feat. Remy Boyz,679 LYRICS,2015
22,Meghan Trainor,Lips Are Movin LYRICS,2015
23,Fifth Harmony feat. Kid Ink,Worth It LYRICS,2015
24,Omarion feat. Chris Brown and Jhene Aiko,Post To Be LYRICS,2015
25,Andy Grammer,"Honey, I’m Good. LYRICS",2015
26,Sam Smith,I’m Not The Only One LYRICS,2015
27,Selena Gomez feat. A$AP Rocky,Good For You LYRICS,2015
28,Meghan Trainor,All About That Bass LYRICS,2015
29,Taylor Swift,Style LYRICS,2015
30,Drake,Hotline Bling LYRICS,2015
31,"David Guetta feat. Nicki Minaj, Bebe Rexha and Afrojack",Hey Mama LYRICS,2015
32,Flo Rida feat. Sage The Gemini and Lookas,G.D.F.R. LYRICS,2015
33,Justin Bieber,What Do You Mean? LYRICS,2015
34,Ed Sheeran,Photograph LYRICS,2015
35,Adele,Hello LYRICS,2015
36,Shawn Mendes,Stitches LYRICS,2015
37,Tove Lo,Talking Body LYRICS,2015
38,Nick Jonas,Jealous LYRICS,2015
39,Pitbull and Ne-Yo,Time Of Our Lives LYRICS,2015
40,R. City feat. Adam Levine,Locked Away LYRICS,2015
41,Natalie La Rose feat. Jeremih,Somebody LYRICS,2015
42,"Rihanna, Kanye West, and Paul McCartney",FourFiveSeconds LYRICS,2015
43,Fall Out Boy,Centuries LYRICS,2015
44,Fetty Wap feat. Monty,My Way LYRICS,2015
45,Sam Hunt,Take Your Time LYRICS,2015
46,Maroon 5,Animals LYRICS,2015
47,Big Sean feat. E-40,I Don’t F**k With You LYRICS,2015
48,Rihanna,B**** Better Have My Money LYRICS,2015
49,Rich Homie Quan,Flex (Ooh Ooh Ooh) LYRICS,2015
50,T-Wayne,Nasty Freestyle LYRICS,2015
51,"Nicki Minaj feat. Drake, Lil Wayne and Chris Brown",Only LYRICS,2015
52,Sia,Elastic Heart LYRICS,2015
53,Demi Lovato,Cool For The Summer LYRICS,2015
54,X Ambassadors,Renegades LYRICS,2015
55,Usher feat. Juicy J,I Don’t Mind LYRICS,2015
56,Ariana Grande and The Weeknd,Love Me Harder LYRICS,2015
57,Taylor Swift,Wildest Dreams LYRICS,2015
58,Sam Smith,Stay With Me LYRICS,2015
59,DJ Snake and Alunageorge,You Know You Like It LYRICS,2015
60,Fall Out Boy,Uma Thurman LYRICS,2015
61,Beyonce,7/11 LYRICS,2015
62,Selena Gomez,The Heart Wants What It Wants LYRICS,2015
63,Little Big Town,Girl Crush LYRICS,2015
64,Trey Songz,Slow Motion LYRICS,2015
65,One Direction,Drag Me Down LYRICS,2015
66,Nicki Minaj feat. Drake and Lil Wayne,Truffle Butter LYRICS,2015
67,Ariana Grande,One Last Time LYRICS,2015
68,Nick Jonas,Chains LYRICS,2015
69,Meek Mill feat. Chris Brown and Nicki Minaj,All Eyes On You LYRICS,2015
70,Rae Sremmurd,No Type LYRICS,2015
71,Vance Joy,Riptide LYRICS,2015
72,Jidenna feat. Roman GianArthur,Classic Man LYRICS,2015
73,Elle King,Ex’s and Oh’s LYRICS,2015
74,Meghan Trainor,Dear Future Husband LYRICS,2015
75,Charlie Puth feat. Meghan Trainor,Marvin Gaye LYRICS,2015
76,Meghan Trainor feat. John Legend,Like I’m Gonna Lose You LYRICS,2015
77,Tove Lo,Habits (Stay High) LYRICS,2015
78,James Newton Howard feat. Jennifer Lawrence,The Hanging Tree LYRICS,2015
79,O.T. Genasis,Coco LYRICS,2015
80,"Jessie J, Ariana Grande and Nicki Minaj",Bang Bang LYRICS,2015
81,Sam Smith,Lay Me Down LYRICS,2015
82,iLoveMakonnen feat. Drake,Tuesday LYRICS,2015
83,iLoveMemphis,Hit The Quan LYRICS,2015
84,"Macklemore and Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz",Downtown LYRICS,2015
85,Sam Hunt,House Party LYRICS,2015
86,Chris Brown and Tyga,Ayo LYRICS,2015
87,Luke Bryan,Kick The Dust Up LYRICS,2015
88,Big Sean feat. Drake,Blessings LYRICS,2015
89,George Ezra,Budapest LYRICS,2015
90,Sia,Chandelier LYRICS,2015
91,Kelly Clarkson,Heartbeat Song LYRICS,2015
92,Ed Sheeran,Don’t LYRICS,2015
93,Ella Henderson,Ghost LYRICS,2015
94,Alessia Cara,Here LYRICS,2015
95,Mr. Probz,Waves LYRICS,2015
96,Nicky Jam and Enrique Iglesias,El Perdon (Forgiveness) LYRICS,2015
97,Ne-Yo feat. Juicy J,She Knows LYRICS,2015
98,One Direction,Night Changes LYRICS,2015
99,Drake,Back To Back LYRICS,2015
100,Calvin Harris and Disciples,How Deep Is Your Love LYRICS,2015
1,Justin Bieber,Love Yourself LYRICS,2016
2,Justin Bieber,Sorry LYRICS,2016
3,Drake feat. WizKid and Kyla,One Dance LYRICS,2016
4,Rihanna feat. Drake,Work LYRICS,2016
5,twenty one pilots,Stressed Out LYRICS,2016
6,Desiigner,Panda LYRICS,2016
7,Adele,Hello LYRICS,2016
8,Chainsmokers feat. Daya,Don’t Let Me Down LYRICS,2016
9,Justin Timberlake,Can’t Stop The Feeling! LYRICS,2016
10,Chainsmokers feat. Halsey,Closer LYRICS,2016
11,Sia feat. Sean Paul,Cheap Thrills LYRICS,2016
12,Lukas Graham,7 Years LYRICS,2016
13,Rihanna,Needed Me LYRICS,2016
14,Flo Rida,My House LYRICS,2016
15,Mike Posner,I Took A Pill In Ibiza LYRICS,2016
16,Fifth Harmony feat. Ty Dolla $ign,Work From Home LYRICS,2016
17,Calvin Harris feat. Rihanna,This Is What You Came For LYRICS,2016
18,DNCE,Cake By The Ocean LYRICS,2016
19,G-Eazy x Bebe Rexha,"Me, Myself and I LYRICS",2016
20,twenty one pilots,Ride LYRICS,2016
21,twenty one pilots,Heathens LYRICS,2016
22,Zayn,Pillowtalk LYRICS,2016
23,Shawn Mendes,Stitches LYRICS,2016
24,Drake,Hotline Bling LYRICS,2016
25,Major Lazer feat. Justin Bieber and MO,Cold Water LYRICS,2016
26,Adele,Send My Love (To Your New Lover) LYRICS,2016
27,Chainsmokers feat. Rozes,Roses LYRICS,2016
28,Shawn Mendes,Treat You Better LYRICS,2016
29,Drake feat. Rihanna,Too Good LYRICS,2016
30,Future feat. The Weeknd,Low Life LYRICS,2016
31,Justin Bieber,What Do You Mean? LYRICS,2016
32,Weeknd,The Hills LYRICS,2016
33,Pink,Just Like Fire LYRICS,2016
34,D.R.A.M. feat. Lil Yachty,Broccoli LYRICS,2016
35,Bryson Tiller,Don’t LYRICS,2016
36,Ariana Grande,Dangerous Woman LYRICS,2016
37,Drake and Future,Jumpman LYRICS,2016
38,gnash feat. Olivia O’Brien,I Hate U I Love U LYRICS,2016
39,Alessia Cara,Here LYRICS,2016
40,Selena Gomez,Same Old Love LYRICS,2016
41,Drake,Controlla LYRICS,2016
42,Meghan Trainor feat. John Legend,Like I’m Gonna Lose You LYRICS,2016
43,Charlie Puth,One Call Away LYRICS,2016
44,James Bay,Let It Go LYRICS,2016
45,Meghan Trainor,No LYRICS,2016
46,Zara Larsson and MNEK,Never Forget You LYRICS,2016
47,DJ Snake feat. Justin Bieber,Let Me Love You LYRICS,2016
48,Kent Jones,Don’t Mind LYRICS,2016
49,Florida Georgia Line,H.O.L.Y.,2016
50,Charlie Puth feat. Selena Gomez,We Don’t Talk Anymore LYRICS,2016
51,Ariana Grande,Into You LYRICS,2016
52,Kiiara,Gold LYRICS,2016
53,Bryson Tiller,Exchange LYRICS,2016
54,Fetty Wap feat. Remy Boyz,679 LYRICS,2016
55,Jeremih,Oui LYRICS,2016
56,Selena Gomez,Hands To Myself LYRICS,2016
57,Kevin Gates,2 Phones LYRaICS,2016
58,Weeknd feat. Daft Punk,Starboy LYRICS,2016
59,DJ Khaled feat. Drake,For Free LYRICS,2016
60,Flume feat. Kai,Never Be Like You LYRICS,2016
61,Weeknd,In The Night LYRICS,2016
62,Meghan Trainor,Me Too LYRICS,2016
63,Elle King,Ex’s and Oh’s LYRICS,2016
64,Thomas Rhett,Die A Happy Man LYRICS,2016
65,Post Malone,White Iverson LYRICS,2016
66,Nick Jonas feat. Tove Lo,Close LYRICS,2016
67,X Ambassadors,Unsteady LYRICS,2016
68,"Lil Wayne, Wi",Sucker For Pain LYRICS,2016
69,Yo Gotti feat. Nicki Minaj,Down In The Dm LYRICS,2016
70,Tory Lanez,Luv LYRICS,2016
71,Beyonce,Sorry LYRICS,2016
72,Weeknd,Can’t Feel My Face LYRICS,2016
73,Coldplay,Hymn For The Weekend LYRICS,2016
74,Tory Lanez,Say It LYRICS,2016
75,Travis Scott,Antidote LYRICS,2016
76,Ruth B,Lost Boy LYRICS,2016
77,Ariana Grande feat. Nicki Minaj,Side To Side LYRICS,2016
78,Daya,"Sit Still, Look Pretty LYRICS",2016
79,Taylor Swift,Wildest Dreams LYRICS,2016
80,DJ Snake feat. Bipolar Sunshine,Middle LYRICS,2016
81,Ellie Goulding,On My Mind LYRICS,2016
82,Drake feat. The Throne,Pop Style LYRICS,2016
83,Adele,When We Were Young LYRICS,2016
84,Daya,Hide Away LYRICS,2016
85,Major Lazer and DJ Snake feat. MO,Lean On LYRICS,2016
86,Shawn Mendes and Camila Cabello,I Know What You Did Last Summer LYRICS,2016
87,"Fat Joe, Rem",All The Way Up LYRICS,2016
88,Silento,Watch Me LYRICS,2016
89,Chris Brown,Back To Sleep LYRICS,2016
90,Usher feat. Young Thug,No Limit LYRICS,2016
91,O.T. Genasis feat. Young Dolph,Cut It LYRICS,2016
92,Kevin Gates,Really Really LYRICS,2016
93,Fifth Harmony feat. Fetty Wap,All In My Head (Flex) LYRICS,2016
94,Hailee Steinfeld and Grey feat. Zedd,Starving LYRICS,2016
95,Coldplay,Adventure Of A Lifetime LYRICS,2016
96,Tim McGraw,Humble And Kind LYRICS,2016
97,Future,Wicked LYRICS,2016
98,Desiigner,Tiimmy Turner LYRICS,2016
99,Wiz Khalifa feat. Charlie Puth,See You Again LYRICS,2016
100,One Direction,Perfect LYRICS,2016
1,Ed Sheeran,Shape Of You,2017
2,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,2017
3,Bruno Mars,That’s What I Like,2017
4,Kendrick Lamar,Humble.,2017
5,The Chainsmokers & Coldplay,Something Just Like This,2017
6,Migos Featuring Lil Uzi Vert,Bad And Boujee,2017
7,The Chainsmokers Featuring Halsey,Closer,2017
8,Sam Hunt,Body Like A Back Road,2017
9,Imagine Dragons,Believer,2017
10,Post Malone Featuring Quavo,Congratulations,2017
11,James Arthur,Say You Won’t Let Go,2017
12,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I’m The One,2017
13,Lil Uzi Vert,XO TOUR Llif3,2017
14,Future,Mask Off,2017
15,French Montana Featuring Swae Lee,Unforgettable,2017
16,Bruno Mars,24K Magic,2017
17,Zedd & Alessia Cara,Stay,2017
18,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2017
19,Rae Sremmurd Featuring Gucci Mane,Black Beatles,2017
20,The Weeknd Featuring Daft Punk,Starboy,2017
21,Khalid,Location,2017
22,Charlie Puth,Attention,2017
23,Shawn Mendes,There’s Nothing Holdin’ Me Back,2017
24,Cardi B,Bodak Yellow (Money Moves),2017
25,Childish Gambino,Redbone,2017
26,Zayn / Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),2017
27,Kygo x Selena Gomez,It Ain’t Me,2017
28,KYLE Featuring Lil Yachty,iSpy,2017
29,Julia Michaels,Issues,2017
30,Alessia Cara,Scars To Your Beautiful,2017
31,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,2017
32,Niall Horan,Slow Hands,2017
33,Rihanna,Love On The Brain,2017
34,The Weeknd Featuring Daft Punk,I Feel It Coming,2017
35,Big Sean,Bounce Back,2017
36,Liam Payne Featuring Quavo,Strip That Down,2017
37,Drake,Fake Love,2017
38,Maroon 5 Featuring Kendrick Lamar,Don’t Wanna Know,2017
39,Taylor Swift,Look What You Made Me Do,2017
40,Ed Sheeran,Castle On The Hill,2017
41,Machine Gun Kelly x Camila Cabello,Bad Things,2017
42,The Chainsmokers,Paris,2017
43,Ariana Grande Featuring Nicki Minaj,Side To Side,2017
44,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,2017
45,Portugal. The Man,Feel It Still,2017
46,DJ Snake Featuring Justin Bieber,Let Me Love You,2017
47,Demi Lovato,Sorry Not Sorry,2017
48,21 Savage,Bank Account,2017
49,Justin Timberlake,Can’t Stop The Feeling!,2017
50,J Balvin & Willy William Featuring Beyonce,Mi Gente,2017
51,Imagine Dragons,Thunder,2017
52,Migos,T-Shirt,2017
53,Yo Gotti Featuring Nicki Minaj,Rake It Up,2017
54,Shawn Mendes,Mercy,2017
55,Kodak Black,Tunnel Vision,2017
56,Post Malone Featuring 21 Savage,Rockstar,2017
57,Brett Young,In Case You Didn’t Know,2017
58,twenty one pilots,Heathens,2017
59,Halsey,Now Or Never,2017
60,Amine,Caroline,2017
61,Ayo & Teo,Rolex,2017
62,Kendrick Lamar,DNA.,2017
63,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),2017
64,Rae Sremmurd,Swang,2017
65,Drake,Passionfruit,2017
66,Kendrick Lamar Featuring Rihanna,Loyalty.,2017
67,Kesha,Praying,2017
68,Travis Scott,Goosebumps,2017
69,Maroon 5 Featuring Future,Cold,2017
70,D.R.A.M. Featuring Lil Yachty,Broccoli,2017
71,Calvin Harris Featuring Frank Ocean & Migos,Slide,2017
72,Kane Brown Featuring Lauren Alaina,What Ifs,2017
73,Katy Perry Featuring Skip Marley,Chained To The Rhythm,2017
74,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,2017
75,Jon Bellion,All Time Low,2017
76,Luke Combs,Hurricane,2017
77,Sam Smith,Too Good At Goodbyes,2017
78,Khalid,Young Dumb & Broke,2017
79,Playboi Carti,Magnolia,2017
80,SZA Featuring Travis Scott,Love Galore,2017
81,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning,2017
82,Hailee Steinfeld & Grey Featuring Zedd,Starving,2017
83,Gucci Mane Featuring Drake,Both,2017
84,P!nk,What About Us,2017
85,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla,2017
86,Migos Featuring Gucci Mane,Slippery,2017
87,Harry Styles,Sign Of The Times,2017
88,Adele,Water Under The Bridge,2017
89,Miley Cyrus,Malibu,2017
90,Marian Hill,Down,2017
91,Cheat Codes Featuring Demi Lovato,No Promises,2017
92,Shawn Mendes,Treat You Better,2017
93,Gucci Mane Featuring Migos,I Get The Bag,2017
94,Dustin Lynch,Small Town Boy,2017
95,YFN Lucci Featuring PnB Rock,Everyday We Lit,2017
96,Camila Cabello Featuring Young Thug,Havana,2017
97,Maroon 5 Featuring SZA,What Lovers Do,2017
98,Blackbear,Do Re Mi,2017
99,XXXTentacion,Look At Me!,2017
100,Keith Urban Featuring Carrie Underwood,The Fighter,2017
1,Drake,God’s Plan,2018
2,Ed Sheeran,Perfect,2018
3,Bebe Rexha & Florida Georgia Line,Meant To Be,2018
4,Camila Cabello Featuring Young Thug,Havana,2018
5,Post Malone Featuring 21 Savage,Rockstar,2018
6,Post Malone Featuring Ty Dolla $ign,Psycho,2018
7,"Cardi B, Bad Bunny & J Balvin",I Like It,2018
8,"Zedd, Maren Morris & Grey",The Middle,2018
9,Drake,In My Feelings,2018
10,Maroon 5 Featuring Cardi B,Girls Like You,2018
11,Drake,Nice For What,2018
12,Juice WRLD,Lucid Dreams,2018
13,Post Malone,Better Now,2018
14,Bruno Mars & Cardi B,Finesse,2018
15,Ella Mai,Boo’d Up,2018
16,Dua Lipa,New Rules,2018
17,XXXTENTACION,Sad!,2018
18,Camila Cabello,Never Be The Same,2018
19,Khalid & Normani,Love Lies,2018
20,Ariana Grande,No Tears Left To Cry,2018
21,Bazzi,Mine,2018
22,Imagine Dragons,Thunder,2018
23,BlocBoy JB Featuring Drake,Look Alive,2018
24,Taylor Swift,Delicate,2018
25,Lil Baby & Drake,Yes Indeed,2018
26,Marshmello & Anne-Marie,Friends,2018
27,Halsey,Bad At Love,2018
28,Tyga Featuring Offset,Taste,2018
29,NF,Let You Down,2018
30,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,2018
31,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,2018
32,Dan + Shay,Tequila,2018
33,Portugal. The Man,Feel It Still,2018
34,"Migos, Nicki Minaj & Cardi B",MotorSport,2018
35,Lauv,I Like Me Better,2018
36,5 Seconds Of Summer,Youngblood,2018
37,Imagine Dragons,Whatever It Takes,2018
38,Offset & Metro Boomin,Ric Flair Drip,2018
39,Post Malone,I Fall Apart,2018
40,The Weeknd & Kendrick Lamar,Pray For Me,2018
41,Selena Gomez,Back To You,2018
42,Travis Scott,Sicko Mode,2018
43,Migos Featuring Drake,Walk It Talk It,2018
44,Lil Pump,Gucci Gang,2018
45,G-Eazy & Halsey,Him & I,2018
46,Shawn Mendes,In My Blood,2018
47,Kendrick Lamar & SZA,All The Stars,2018
48,Migos,Stir Fry,2018
49,Sam Smith,Too Good At Goodbyes,2018
50,Kendrick Lamar Featuring Zacari,Love.,2018
51,Childish Gambino,This Is America,2018
52,Drake,Nonstop,2018
53,Kane Brown,Heaven,2018
54,Cardi B,Bodak Yellow (Money Moves),2018
55,Lil Dicky Featuring Chris Brown,Freaky Friday,2018
56,6ix9ine,Gummo,2018
57,Rich The Kid,Plug Walk,2018
58,Maroon 5,Wait,2018
59,Cardi B,Be Careful,2018
60,Selena Gomez X Marshmello,Wolves,2018
61,Cardi B Featuring 21 Savage,Bartier Cardi,2018
62,Ariana Grande,God Is A Woman,2018
